rfc,nombre,situacion,fecha_publicacion
HFB860609MF3,Ferretera del Norte SA de CV,Desvirtuado,2023-06-01
CFO160511211,Grupo Industrial SA de CV,Presunto,2024-12-17
BYU920226V28,Grupo del Norte SAPI de CV,Presunto,2021-12-09
QWX951210Z1R,Herramientas Monterrey SAPI de CV,Desvirtuado,2022-11-17
VDF1101084RK,Transportes Regiomontana S de RL de CV,Desvirtuado,2025-01-04
TJR9409142EP,Hidráulica Apodaca SAPI de CV,Desvirtuado,2021-03-02
LUS180203MO1,Hidráulica del Norte S de RL de CV,Presunto,2024-09-14
XDO180514OYT,Maquinados de México S de RL de CV,Presunto,2025-08-21
HNX100821HT2,Empaques de México SAPI de CV,Sentencia favorable,2025-05-08
FHA060724Z5S,Grupo Industrial SA de CV,Presunto,2023-11-14
ONT9501016TJ,Maquinados San Nicolás SAPI de CV,Presunto,2025-02-08
BJQ07020217Q,Distribuidora del Norte S de RL de CV,Desvirtuado,2022-04-29
UZO191008MK2,Distribuidora Escobedo SA de CV,Sentencia favorable,2023-12-01
TCN970615DZ3,Suministros Regiomontana SA de CV,Sentencia favorable,2025-12-25
DFC180719U25,Distribuidora Apodaca SAPI de CV,Sentencia favorable,2023-06-21
RYT110305SRQ,Ferretera Santa Catarina SA de CV,Definitivo,2023-07-22
MTY0802204DN,Maquinados del Norte SAPI de CV,Definitivo,2021-08-30
JZH160126F2P,Maquinados Industrial SA de CV,Definitivo,2025-08-05
TAO890114RLQ,Refacciones San Nicolás S de RL de CV,Definitivo,2025-04-10
DQT1303280DW,Hidráulica San Nicolás SA de CV,Sentencia favorable,2022-11-26
OYX0211035ZU,Maquinados Santa Catarina SAPI de CV,Presunto,2024-08-11
OFQ210119S1S,Aceros Regiomontana SAPI de CV,Definitivo,2021-02-08
HFV2208033VO,Metálica Apodaca SA de CV,Desvirtuado,2023-06-15
EAN090503EDG,Logística Monterrey S de RL de CV,Presunto,2021-11-12
HKE240606ACO,Refacciones Monterrey S de RL de CV,Desvirtuado,2022-06-13
JVD970425VIS,Ferretera San Nicolás SA de CV,Desvirtuado,2021-05-05
IOB860721I5J,Distribuidora Escobedo SA de CV,Definitivo,2025-04-12
OUH1108034S2,Logística de México SAPI de CV,Definitivo,2025-05-21
GYY200802AQ3,Maquinados Escobedo SA de CV,Presunto,2021-05-04
YMP090627WVS,Metálica Monterrey SAPI de CV,Presunto,2022-09-08
CSV200514HS2,Refacciones Escobedo S de RL de CV,Sentencia favorable,2022-07-14
GZI141011AYX,Aceros Guadalupe S de RL de CV,Presunto,2021-01-20
RKX160718C5X,Grupo del Norte SAPI de CV,Sentencia favorable,2024-10-08
DZJ230613G1Z,Aceros Regiomontana S de RL de CV,Desvirtuado,2022-01-31
LFA021123MDW,Maquinados Nuevo León SA de CV,Sentencia favorable,2023-01-14
AMS230401H3O,Industrias Guadalupe SAPI de CV,Sentencia favorable,2021-12-16
ORO231006CEC,Industrias Guadalupe SA de CV,Desvirtuado,2022-01-28
WAZ191009Y5A,Hidráulica Escobedo SAPI de CV,Presunto,2025-10-15
YLZ020222SRS,Metálica Nuevo León SA de CV,Desvirtuado,2023-05-11
NIK06021939I,Hidráulica Regiomontana SA de CV,Definitivo,2021-12-03
IBQ8608143VW,Refacciones Industrial SA de CV,Presunto,2023-08-28
GIB060926ICV,Empaques Regiomontana SAPI de CV,Sentencia favorable,2024-03-31
DZX090628Y2C,Empaques del Norte S de RL de CV,Sentencia favorable,2021-05-15
CBB090704WO5,Aceros Apodaca S de RL de CV,Sentencia favorable,2025-06-17
LQC860817LGD,Suministros Guadalupe SA de CV,Definitivo,2024-07-29
NJM240806I2C,Maquinados Guadalupe S de RL de CV,Desvirtuado,2022-09-30
POD150520MNA,Distribuidora Escobedo SAPI de CV,Definitivo,2021-04-28
GVO880712HH6,Suministros de México SA de CV,Sentencia favorable,2024-11-23
RMS221011WPF,Empaques del Norte S de RL de CV,Definitivo,2021-01-08
QSM98041608L,Neumática Nuevo León S de RL de CV,Definitivo,2025-08-19
ZJB860904FPW,Soldadura del Norte SA de CV,Definitivo,2022-02-10
HFG960628TGA,Industrias Regiomontana SA de CV,Definitivo,2023-02-16
RXI980515I3X,Ferretera Guadalupe S de RL de CV,Presunto,2021-08-31
DYU970913YLP,Servicios del Norte SAPI de CV,Definitivo,2025-10-16
NUI881126KES,Distribuidora Apodaca SA de CV,Presunto,2025-05-26
MRB17072551N,Ferretera Apodaca SA de CV,Desvirtuado,2024-12-30
JSS160809UW2,Metálica Nuevo León SA de CV,Definitivo,2023-07-15
WKH0910067NT,Logística Regiomontana S de RL de CV,Sentencia favorable,2023-11-29
JPM240614QPN,Pinturas de México S de RL de CV,Sentencia favorable,2021-02-20
EGQ0702104SX,Industrias Nuevo León SA de CV,Presunto,2021-05-27
IHV020423VE4,Metálica Santa Catarina SA de CV,Definitivo,2025-11-15
COL040206DTB,Neumática Regiomontana SAPI de CV,Presunto,2025-07-10
