receipt_id,po_number,supplier_id,invoice_uuid,fecha,descripcion,cantidad,received_by,warehouse
GR00001,PO00091,S00034,82B34384-9979-CF26-C8B1-90E1089A9F4F,2025-01-02,Tubo estructural,50.0,E00004,ALM-01
GR00002,PO00102,S00031,EE6081AC-2DD0-622E-266B-F2EAEB93F78C,2025-01-06,Brocas HSS,99.0,E00004,ALM-02
GR00003,PO00245,S00035,98BE5FF0-929D-AF9F-0149-A2AF0AB1A504,2025-01-06,Placa de acero A36,32.0,E00004,ALM-01
GR00004,PO00110,S00034,B0117B0A-3496-51D6-A790-55B06001F54D,2025-01-06,Barra redonda 1018,2.0,E00004,ALM-01
GR00005,PO00037,S00027,F5C9F459-9DB1-BD5E-91A4-D796B9720EEC,2025-01-06,Sellos hidráulicos,102.0,E00004,ALM-02
GR00006,PO00092,S00033,DD1CA267-530D-DDA6-C8D0-F9E5991965EA,2025-01-13,Discos de corte,153.0,E00004,ALM-02
GR00007,PO00070,S00025,BAEB286B-F0D0-270F-D4D1-3D551DB6B844,2025-01-13,Motor eléctrico 5HP,22.0,E00004,ALM-02
GR00008,PO00243,S00019,4185300D-971D-F5FD-B389-50CE9FBC879E,2025-01-13,Guantes de carnaza,135.0,E00004,ALM-01
GR00009,PO00108,S00010,4721194B-C8A4-AE21-D9F8-50E913AD3EAD,2025-01-13,Placa de acero A36,130.0,E00004,ALM-02
GR00010,PO00339,S00034,F6A9E3E3-B62B-CCB1-4956-0C3685609E8A,2025-01-15,Barra redonda 1018,168.0,E00004,ALM-02
GR00011,PO00199,S00034,D463C183-A231-7211-8578-B1C6F7EBC69A,2025-01-17,Lámina de acero cal. 14,181.0,E00004,ALM-01
GR00012,PO00357,S00012,19E9E3A4-18DC-CEB6-84FC-FCB0F5E90352,2025-01-20,Lámina de acero cal. 14,56.0,E00004,ALM-01
GR00013,PO00090,S00001,2737F345-3886-29FF-B2A0-F778809D6444,2025-01-20,Bandas industriales,84.0,E00004,ALM-01
GR00014,PO00136,S00003,EBD14B0C-C7F4-F4F9-8222-1AD3ECA391D4,2025-01-22,Barra redonda 1018,124.0,E00004,ALM-01
GR00015,PO00138,S00027,4818B004-B0A4-F557-3381-001FA3FF8FD2,2025-01-22,Bandas industriales,3.0,E00004,ALM-02
GR00016,PO00217,S00023,DFCF338C-DEC5-6DC3-AD96-8213F0A9B97F,2025-01-22,Solvente industrial,118.0,E00004,ALM-01
GR00017,PO00157,S00012,1EDBBE71-DE2A-2DDF-EE24-9B726AA12ABD,2025-01-24,Tubo estructural,112.0,E00004,ALM-02
GR00018,PO00395,S00027,892FCA69-8E20-17E1-50C4-CB4BAD9E5C1E,2025-01-27,Válvulas neumáticas,186.0,E00004,ALM-01
GR00019,PO00261,S00007,0AB74B5D-FCD4-9681-CA09-7B17951B2503,2025-01-31,Discos de corte,171.0,E00004,ALM-02
GR00020,PO00100,S00019,C4072654-7F5F-61AA-AEE7-C7A586296FBE,2025-02-03,Guantes de carnaza,49.0,E00004,ALM-02
GR00021,PO00274,S00010,2D8CC973-43C1-136C-D013-B7A3F4A29332,2025-02-03,Lámina de acero cal. 14,67.0,E00004,ALM-02
GR00022,PO00409,S00023,2A3DD769-8DAC-210D-5EB3-8EF5B24070CA,2025-02-03,Guantes de carnaza,44.0,E00004,ALM-01
GR00023,PO00236,S00035,9B47E639-4D25-51EB-AF95-BE79C971BF51,2025-02-04,Lámina de acero cal. 14,75.0,E00004,ALM-02
GR00024,PO00429,S00014,953B0F1F-EA3E-072A-8F22-1604D46B7756,2025-02-04,Brocas HSS,186.0,E00004,ALM-01
GR00025,PO00323,S00013,B5DEF807-4A96-5478-A72B-DDDD511EEEB8,2025-02-04,Bandas industriales,81.0,E00004,ALM-02
GR00026,PO00271,S00001,1CCEC1EF-16EF-ACDF-9375-EE61EC94503E,2025-02-04,Sellos hidráulicos,176.0,E00004,ALM-02
GR00027,PO00244,S00008,7B94A34D-E4AA-786D-9D17-D218FC3B0DE5,2025-02-05,Tubo estructural,153.0,E00004,ALM-01
GR00028,PO00231,S00042,E8334DA5-DE95-D695-3579-C1437AB99428,2025-02-06,Solvente industrial,56.0,E00004,ALM-01
GR00029,PO00350,S00033,EDC3A1C3-2DEA-2D2D-086C-405FA879D8F8,2025-02-06,Solvente industrial,145.0,E00004,ALM-01
