uuid,tipo,serie,folio,fecha,fecha_timbrado,rfc_emisor,nombre_emisor,rfc_receptor,nombre_receptor,uso_cfdi,forma_pago,metodo_pago,clave_prod_serv,descripcion,cantidad,valor_unitario,subtotal,iva,total,moneda,po_number,counterparty_id,approved_by
93683DD6-5050-127E-4E38-5D03A0D80651,emitida,F,1485,2025-01-02,2025-01-02,TIN091214KL3,Talleres Industriales del Norte SA de CV,BNT021022VED,Construcciones Quintanilla S de RL de CV,G01,03,PPD,23271800,Maquinado de piezas,1.0,184238.27,184238.27,29478.12,213716.39,MXN,,C00010,E00007
EBA46463-36C9-B657-EC9A-799E19437791,emitida,F,1419,2025-01-03,2025-01-03,TIN091214KL3,Talleres Industriales del Norte SA de CV,IHL120323PQ0,Construcciones Hernández SA de CV,G01,03,PPD,23271800,Corte y doblez,1.0,390488.77,390488.77,62478.2,452966.97,MXN,,C00009,E00007
98BE5FF0-929D-AF9F-0149-A2AF0AB1A504,recibida,A,51753,2025-01-06,2025-01-08,WWH110626S3K,Grupo Monterrey S de RL de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PUE,30102000,Placa de acero A36,32.0,553.75,17719.9,2835.18,20555.08,MXN,PO00245,S00035,E00002
B0117B0A-3496-51D6-A790-55B06001F54D,recibida,A,41505,2025-01-06,2025-01-07,DZI910804SQ0,Pinturas San Nicolás S de RL de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PPD,30102000,Barra redonda 1018,2.0,4835.0,9670,1547.2,11217.2,MXN,PO00110,S00034,E00002
82B34384-9979-CF26-C8B1-90E1089A9F4F,recibida,A,67708,2025-01-06,2025-01-08,DZI910804SQ0,Pinturas San Nicolás S de RL de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PUE,30102000,Tubo estructural,50.0,111.2,5559.9,889.58,6449.48,MXN,PO00091,S00034,E00002
F5C9F459-9DB1-BD5E-91A4-D796B9720EEC,recibida,A,3916,2025-01-06,2025-01-06,FNI920522YRY,Hidráulica Apodaca SAPI de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PUE,40141600,Sellos hidráulicos,102.0,658.16,67132.4,10741.18,77873.58,MXN,PO00037,S00027,E00002
B169FDED-F972-3977-52C0-3F9BDF16EB70,emitida,F,1498,2025-01-06,2025-01-06,TIN091214KL3,Talleres Industriales del Norte SA de CV,YCA050705OHS,Autopartes Martínez SAPI de CV,G01,03,PPD,23271800,Corte y doblez,1.0,208797.38,208797.38,33407.58,242204.96,MXN,,C00017,E00007
EE6081AC-2DD0-622E-266B-F2EAEB93F78C,recibida,A,4735,2025-01-07,2025-01-09,WGM241113MRL,Distribuidora Industrial S de RL de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PPD,31161500,Brocas HSS,99.0,225.33,22307.8,3569.25,25877.05,MXN,PO00102,S00031,E00002
7C2257A0-C75F-F368-5F7D-DBB1480AFE9F,emitida,F,1405,2025-01-07,2025-01-07,TIN091214KL3,Talleres Industriales del Norte SA de CV,TJB001222W10,Grupo Montemayor S de RL de CV,G01,03,PPD,23271800,Corte y doblez,1.0,89301.8,89301.8,14288.29,103590.09,MXN,,C00011,E00007
32440F07-0AE2-63E0-6E66-3C0AC1E0A4A1,emitida,F,1412,2025-01-10,2025-01-10,TIN091214KL3,Talleres Industriales del Norte SA de CV,MAQ03062825L,Envases Rodríguez SAPI de CV,G01,03,PPD,23271800,Maquinado de piezas,1.0,318889.23,318889.23,51022.28,369911.51,MXN,,C00015,E00007
BAEB286B-F0D0-270F-D4D1-3D551DB6B844,recibida,A,18669,2025-01-13,2025-01-14,UWP921026BTX,Electrónica Regiomontana SAPI de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PPD,40141600,Motor eléctrico 5HP,22.0,734.2,16152.4,2584.38,18736.78,MXN,PO00070,S00025,E00002
528A34F3-63EA-C0A1-9202-B09C60B36938,emitida,F,1449,2025-01-13,2025-01-13,TIN091214KL3,Talleres Industriales del Norte SA de CV,TVB051103QYM,Grupo Chapa S de RL de CV,G01,03,PPD,23271800,Maquinado de piezas,1.0,394875.32,394875.32,63180.05,458055.37,MXN,,C00006,E00007
3A8C8ED5-A06A-A68A-9CAC-3D21A5A8C8AF,emitida,F,1490,2025-01-13,2025-01-13,TIN091214KL3,Talleres Industriales del Norte SA de CV,IVN2105163NY,Grupo Salinas SAPI de CV,G01,03,PPD,23271800,Maquinado de piezas,1.0,372320.45,372320.45,59571.27,431891.72,MXN,,C00019,E00007
67037089-C78C-D2C3-6374-ED1429B67B14,emitida,F,1521,2025-01-13,2025-01-13,TIN091214KL3,Talleres Industriales del Norte SA de CV,YSD241219IB6,Autopartes Quintanilla S de RL de CV,G01,03,PPD,23271800,Soldadura industrial,1.0,346844.5,346844.5,55495.12,402339.62,MXN,,C00004,E00007
4B7A123E-338A-EA2D-3E1C-FA1495D16384,emitida,F,1542,2025-01-13,2025-01-13,TIN091214KL3,Talleres Industriales del Norte SA de CV,LSC21020236H,Envases López SAPI de CV,G01,03,PPD,23271800,Corte y doblez,1.0,349526.72,349526.72,55924.28,405451.0,MXN,,C00013,E00007
DD1CA267-530D-DDA6-C8D0-F9E5991965EA,recibida,A,50593,2025-01-14,2025-01-14,LAI101206479,Grupo Guadalupe SA de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PPD,31161500,Discos de corte,153.0,412.81,63159.9,10105.58,73265.48,MXN,PO00092,S00033,E00002
4721194B-C8A4-AE21-D9F8-50E913AD3EAD,recibida,A,33136,2025-01-14,2025-01-14,JPY870826UGV,Soldadura Industrial SA de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PPD,30102000,Placa de acero A36,130.0,739.92,96190,15390.4,111580.4,MXN,PO00108,S00010,E00002
3DE54EE2-A655-596C-2528-D32DA60C2BED,emitida,F,1539,2025-01-14,2025-01-14,TIN091214KL3,Talleres Industriales del Norte SA de CV,QSB920810FY7,Envases García S de RL de CV,G01,03,PPD,23271800,Corte y doblez,1.0,115322.61,115322.61,18451.62,133774.23,MXN,,C00008,E00007
A151ED02-2F09-8F4D-A43F-683AA43101E4,emitida,F,1484,2025-01-15,2025-01-15,TIN091214KL3,Talleres Industriales del Norte SA de CV,BNT021022VED,Construcciones Quintanilla S de RL de CV,G01,03,PPD,23271800,Corte y doblez,1.0,314311.16,314311.16,50289.79,364600.95,MXN,,C00010,E00007
4185300D-971D-F5FD-B389-50CE9FBC879E,recibida,A,6533,2025-01-17,2025-01-18,DGN090812Y08,Herramientas Monterrey SA de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PUE,31161500,Guantes de carnaza,135.0,533.39,72007.8,11521.25,83529.05,MXN,PO00243,S00019,E00002
