entry_id,fecha,account_code,account_name,debit,credit,descripcion,invoice_uuid,txn_id
GL00001,2025-01-02,1200,Clientes,213716.39,0,Venta 1485 Construcciones Quintanilla S de RL de CV,93683DD6-5050-127E-4E38-5D03A0D80651,
GL00002,2025-01-02,4000,Ventas,0,184238.27,Venta 1485 Construcciones Quintanilla S de RL de CV,93683DD6-5050-127E-4E38-5D03A0D80651,
GL00003,2025-01-02,2180,IVA trasladado,0,29478.12,IVA venta 1485,93683DD6-5050-127E-4E38-5D03A0D80651,
GL00004,2025-01-03,1200,Clientes,452966.97,0,Venta 1419 Construcciones Hernández SA de CV,EBA46463-36C9-B657-EC9A-799E19437791,
GL00005,2025-01-03,4000,Ventas,0,390488.77,Venta 1419 Construcciones Hernández SA de CV,EBA46463-36C9-B657-EC9A-799E19437791,
GL00006,2025-01-03,2180,IVA trasladado,0,62478.2,IVA venta 1419,EBA46463-36C9-B657-EC9A-799E19437791,
GL00007,2025-01-06,6000,Gastos materia_prima,17719.9,0,Factura 51753 Grupo Monterrey S de RL de CV,98BE5FF0-929D-AF9F-0149-A2AF0AB1A504,
GL00008,2025-01-06,1180,IVA acreditable,2835.18,0,IVA factura 51753,98BE5FF0-929D-AF9F-0149-A2AF0AB1A504,
GL00009,2025-01-06,2100,Proveedores,0,20555.08,Factura 51753 Grupo Monterrey S de RL de CV,98BE5FF0-929D-AF9F-0149-A2AF0AB1A504,
GL00010,2025-01-06,6000,Gastos materia_prima,9670,0,Factura 41505 Pinturas San Nicolás S de RL de CV,B0117B0A-3496-51D6-A790-55B06001F54D,
GL00011,2025-01-06,1180,IVA acreditable,1547.2,0,IVA factura 41505,B0117B0A-3496-51D6-A790-55B06001F54D,
GL00012,2025-01-06,2100,Proveedores,0,11217.2,Factura 41505 Pinturas San Nicolás S de RL de CV,B0117B0A-3496-51D6-A790-55B06001F54D,
GL00013,2025-01-06,6000,Gastos materia_prima,5559.9,0,Factura 67708 Pinturas San Nicolás S de RL de CV,82B34384-9979-CF26-C8B1-90E1089A9F4F,
GL00014,2025-01-06,1180,IVA acreditable,889.58,0,IVA factura 67708,82B34384-9979-CF26-C8B1-90E1089A9F4F,
GL00015,2025-01-06,2100,Proveedores,0,6449.48,Factura 67708 Pinturas San Nicolás S de RL de CV,82B34384-9979-CF26-C8B1-90E1089A9F4F,
GL00016,2025-01-06,6000,Gastos refacciones,67132.4,0,Factura 3916 Hidráulica Apodaca SAPI de CV,F5C9F459-9DB1-BD5E-91A4-D796B9720EEC,
GL00017,2025-01-06,1180,IVA acreditable,10741.18,0,IVA factura 3916,F5C9F459-9DB1-BD5E-91A4-D796B9720EEC,
GL00018,2025-01-06,2100,Proveedores,0,77873.58,Factura 3916 Hidráulica Apodaca SAPI de CV,F5C9F459-9DB1-BD5E-91A4-D796B9720EEC,
GL00019,2025-01-06,1200,Clientes,242204.96,0,Venta 1498 Autopartes Martínez SAPI de CV,B169FDED-F972-3977-52C0-3F9BDF16EB70,
GL00020,2025-01-06,4000,Ventas,0,208797.38,Venta 1498 Autopartes Martínez SAPI de CV,B169FDED-F972-3977-52C0-3F9BDF16EB70,
GL00021,2025-01-06,2180,IVA trasladado,0,33407.58,IVA venta 1498,B169FDED-F972-3977-52C0-3F9BDF16EB70,
GL00022,2025-01-07,6000,Gastos consumibles,22307.8,0,Factura 4735 Distribuidora Industrial S de RL de CV,EE6081AC-2DD0-622E-266B-F2EAEB93F78C,
GL00023,2025-01-07,1180,IVA acreditable,3569.25,0,IVA factura 4735,EE6081AC-2DD0-622E-266B-F2EAEB93F78C,
GL00024,2025-01-07,2100,Proveedores,0,25877.05,Factura 4735 Distribuidora Industrial S de RL de CV,EE6081AC-2DD0-622E-266B-F2EAEB93F78C,
GL00025,2025-01-07,1200,Clientes,103590.09,0,Venta 1405 Grupo Montemayor S de RL de CV,7C2257A0-C75F-F368-5F7D-DBB1480AFE9F,
GL00026,2025-01-07,4000,Ventas,0,89301.8,Venta 1405 Grupo Montemayor S de RL de CV,7C2257A0-C75F-F368-5F7D-DBB1480AFE9F,
GL00027,2025-01-07,2180,IVA trasladado,0,14288.29,IVA venta 1405,7C2257A0-C75F-F368-5F7D-DBB1480AFE9F,
GL00028,2025-01-10,1200,Clientes,369911.51,0,Venta 1412 Envases Rodríguez SAPI de CV,32440F07-0AE2-63E0-6E66-3C0AC1E0A4A1,
GL00029,2025-01-10,4000,Ventas,0,318889.23,Venta 1412 Envases Rodríguez SAPI de CV,32440F07-0AE2-63E0-6E66-3C0AC1E0A4A1,
GL00030,2025-01-10,2180,IVA trasladado,0,51022.28,IVA venta 1412,32440F07-0AE2-63E0-6E66-3C0AC1E0A4A1,
GL00031,2025-01-13,6000,Gastos refacciones,16152.4,0,Factura 18669 Electrónica Regiomontana SAPI de CV,BAEB286B-F0D0-270F-D4D1-3D551DB6B844,
GL00032,2025-01-13,1180,IVA acreditable,2584.38,0,IVA factura 18669,BAEB286B-F0D0-270F-D4D1-3D551DB6B844,
GL00033,2025-01-13,2100,Proveedores,0,18736.78,Factura 18669 Electrónica Regiomontana SAPI de CV,BAEB286B-F0D0-270F-D4D1-3D551DB6B844,
GL00034,2025-01-13,1200,Clientes,458055.37,0,Venta 1449 Grupo Chapa S de RL de CV,528A34F3-63EA-C0A1-9202-B09C60B36938,
GL00035,2025-01-13,4000,Ventas,0,394875.32,Venta 1449 Grupo Chapa S de RL de CV,528A34F3-63EA-C0A1-9202-B09C60B36938,
GL00036,2025-01-13,2180,IVA trasladado,0,63180.05,IVA venta 1449,528A34F3-63EA-C0A1-9202-B09C60B36938,
GL00037,2025-01-13,1200,Clientes,431891.72,0,Venta 1490 Grupo Salinas SAPI de CV,3A8C8ED5-A06A-A68A-9CAC-3D21A5A8C8AF,
GL00038,2025-01-13,4000,Ventas,0,372320.45,Venta 1490 Grupo Salinas SAPI de CV,3A8C8ED5-A06A-A68A-9CAC-3D21A5A8C8AF,
GL00039,2025-01-13,2180,IVA trasladado,0,59571.27,IVA venta 1490,3A8C8ED5-A06A-A68A-9CAC-3D21A5A8C8AF,
GL00040,2025-01-13,1200,Clientes,402339.62,0,Venta 1521 Autopartes Quintanilla S de RL de CV,67037089-C78C-D2C3-6374-ED1429B67B14,
GL00041,2025-01-13,4000,Ventas,0,346844.5,Venta 1521 Autopartes Quintanilla S de RL de CV,67037089-C78C-D2C3-6374-ED1429B67B14,
GL00042,2025-01-13,2180,IVA trasladado,0,55495.12,IVA venta 1521,67037089-C78C-D2C3-6374-ED1429B67B14,
GL00043,2025-01-13,1200,Clientes,405451.0,0,Venta 1542 Envases López SAPI de CV,4B7A123E-338A-EA2D-3E1C-FA1495D16384,
GL00044,2025-01-13,4000,Ventas,0,349526.72,Venta 1542 Envases López SAPI de CV,4B7A123E-338A-EA2D-3E1C-FA1495D16384,
GL00045,2025-01-13,2180,IVA trasladado,0,55924.28,IVA venta 1542,4B7A123E-338A-EA2D-3E1C-FA1495D16384,
GL00046,2025-01-14,6000,Gastos consumibles,63159.9,0,Factura 50593 Grupo Guadalupe SA de CV,DD1CA267-530D-DDA6-C8D0-F9E5991965EA,
GL00047,2025-01-14,1180,IVA acreditable,10105.58,0,IVA factura 50593,DD1CA267-530D-DDA6-C8D0-F9E5991965EA,
GL00048,2025-01-14,2100,Proveedores,0,73265.48,Factura 50593 Grupo Guadalupe SA de CV,DD1CA267-530D-DDA6-C8D0-F9E5991965EA,
GL00049,2025-01-14,6000,Gastos materia_prima,96190,0,Factura 33136 Soldadura Industrial SA de CV,4721194B-C8A4-AE21-D9F8-50E913AD3EAD,
GL00050,2025-01-14,1180,IVA acreditable,15390.4,0,IVA factura 33136,4721194B-C8A4-AE21-D9F8-50E913AD3EAD,
GL00051,2025-01-14,2100,Proveedores,0,111580.4,Factura 33136 Soldadura Industrial SA de CV,4721194B-C8A4-AE21-D9F8-50E913AD3EAD,
GL00052,2025-01-14,1200,Clientes,133774.23,0,Venta 1539 Envases García S de RL de CV,3DE54EE2-A655-596C-2528-D32DA60C2BED,
GL00053,2025-01-14,4000,Ventas,0,115322.61,Venta 1539 Envases García S de RL de CV,3DE54EE2-A655-596C-2528-D32DA60C2BED,
GL00054,2025-01-14,2180,IVA trasladado,0,18451.62,IVA venta 1539,3DE54EE2-A655-596C-2528-D32DA60C2BED,
GL00055,2025-01-15,1200,Clientes,364600.95,0,Venta 1484 Construcciones Quintanilla S de RL de CV,A151ED02-2F09-8F4D-A43F-683AA43101E4,
GL00056,2025-01-15,4000,Ventas,0,314311.16,Venta 1484 Construcciones Quintanilla S de RL de CV,A151ED02-2F09-8F4D-A43F-683AA43101E4,
GL00057,2025-01-15,2180,IVA trasladado,0,50289.79,IVA venta 1484,A151ED02-2F09-8F4D-A43F-683AA43101E4,
GL00058,2025-01-17,6000,Gastos consumibles,72007.8,0,Factura 6533 Herramientas Monterrey SA de CV,4185300D-971D-F5FD-B389-50CE9FBC879E,
GL00059,2025-01-17,1180,IVA acreditable,11521.25,0,IVA factura 6533,4185300D-971D-F5FD-B389-50CE9FBC879E,
GL00060,2025-01-17,2100,Proveedores,0,83529.05,Factura 6533 Herramientas Monterrey SA de CV,4185300D-971D-F5FD-B389-50CE9FBC879E,
GL00061,2025-01-17,6000,Gastos logistica,80129.9,0,Factura 14372 Grupo del Norte SAPI de CV,0C8D51D2-1673-AEFB-EB9E-54E054C3B22E,
GL00062,2025-01-17,1180,IVA acreditable,12820.78,0,IVA factura 14372,0C8D51D2-1673-AEFB-EB9E-54E054C3B22E,
GL00063,2025-01-17,2100,Proveedores,0,92950.68,Factura 14372 Grupo del Norte SAPI de CV,0C8D51D2-1673-AEFB-EB9E-54E054C3B22E,
GL00064,2025-01-20,6000,Gastos materia_prima,11347.8,0,Factura 78411 Pinturas San Nicolás S de RL de CV,F6A9E3E3-B62B-CCB1-4956-0C3685609E8A,
GL00065,2025-01-20,1180,IVA acreditable,1815.65,0,IVA factura 78411,F6A9E3E3-B62B-CCB1-4956-0C3685609E8A,
GL00066,2025-01-20,2100,Proveedores,0,13163.45,Factura 78411 Pinturas San Nicolás S de RL de CV,F6A9E3E3-B62B-CCB1-4956-0C3685609E8A,
GL00067,2025-01-21,6000,Gastos materia_prima,14192.4,0,Factura 35947 Pinturas San Nicolás S de RL de CV,D463C183-A231-7211-8578-B1C6F7EBC69A,
GL00068,2025-01-21,1180,IVA acreditable,2270.78,0,IVA factura 35947,D463C183-A231-7211-8578-B1C6F7EBC69A,
GL00069,2025-01-21,2100,Proveedores,0,16463.18,Factura 35947 Pinturas San Nicolás S de RL de CV,D463C183-A231-7211-8578-B1C6F7EBC69A,
