rfc,legal_name,status,publication_date
CFO160511211,Grupo Industrial SA de CV,presunto,2024-12-17
BYU920226V28,Grupo del Norte SAPI de CV,presunto,2021-12-09
LUS180203MO1,Hidráulica del Norte S de RL de CV,presunto,2024-09-14
XDO180514OYT,Maquinados de México S de RL de CV,presunto,2025-08-21
FHA060724Z5S,Grupo Industrial SA de CV,presunto,2023-11-14
ONT9501016TJ,Maquinados San Nicolás SAPI de CV,presunto,2025-02-08
RYT110305SRQ,Ferretera Santa Catarina SA de CV,definitivo,2023-07-22
MTY0802204DN,Maquinados del Norte SAPI de CV,definitivo,2021-08-30
JZH160126F2P,Maquinados Industrial SA de CV,definitivo,2025-08-05
TAO890114RLQ,Refacciones San Nicolás S de RL de CV,definitivo,2025-04-10
OYX0211035ZU,Maquinados Santa Catarina SAPI de CV,presunto,2024-08-11
OFQ210119S1S,Aceros Regiomontana SAPI de CV,definitivo,2021-02-08
EAN090503EDG,Logística Monterrey S de RL de CV,presunto,2021-11-12
IOB860721I5J,Distribuidora Escobedo SA de CV,definitivo,2025-04-12
OUH1108034S2,Logística de México SAPI de CV,definitivo,2025-05-21
GYY200802AQ3,Maquinados Escobedo SA de CV,presunto,2021-05-04
YMP090627WVS,Metálica Monterrey SAPI de CV,presunto,2022-09-08
GZI141011AYX,Aceros Guadalupe S de RL de CV,presunto,2021-01-20
WAZ191009Y5A,Hidráulica Escobedo SAPI de CV,presunto,2025-10-15
NIK06021939I,Hidráulica Regiomontana SA de CV,definitivo,2021-12-03
IBQ8608143VW,Refacciones Industrial SA de CV,presunto,2023-08-28
LQC860817LGD,Suministros Guadalupe SA de CV,definitivo,2024-07-29
POD150520MNA,Distribuidora Escobedo SAPI de CV,definitivo,2021-04-28
RMS221011WPF,Empaques del Norte S de RL de CV,definitivo,2021-01-08
QSM98041608L,Neumática Nuevo León S de RL de CV,definitivo,2025-08-19
ZJB860904FPW,Soldadura del Norte SA de CV,definitivo,2022-02-10
HFG960628TGA,Industrias Regiomontana SA de CV,definitivo,2023-02-16
RXI980515I3X,Ferretera Guadalupe S de RL de CV,presunto,2021-08-31
DYU970913YLP,Servicios del Norte SAPI de CV,definitivo,2025-10-16
NUI881126KES,Distribuidora Apodaca SA de CV,presunto,2025-05-26
JSS160809UW2,Metálica Nuevo León SA de CV,definitivo,2023-07-15
EGQ0702104SX,Industrias Nuevo León SA de CV,presunto,2021-05-27
IHV020423VE4,Metálica Santa Catarina SA de CV,definitivo,2025-11-15
COL040206DTB,Neumática Regiomontana SAPI de CV,presunto,2025-07-10
