uuid,issuer_rfc,receiver_rfc,issue_date,subtotal,iva,total,concepto_text,uso_cfdi,forma_pago,metodo_pago,status
93683DD6-5050-127E-4E38-5D03A0D80651,TIN091214KL3,BNT021022VED,2025-01-02,184238.27,29478.12,213716.39,Maquinado de piezas,G01,03,PPD,vigente
EBA46463-36C9-B657-EC9A-799E19437791,TIN091214KL3,IHL120323PQ0,2025-01-03,390488.77,62478.2,452966.97,Corte y doblez,G01,03,PPD,vigente
98BE5FF0-929D-AF9F-0149-A2AF0AB1A504,WWH110626S3K,TIN091214KL3,2025-01-06,17719.9,2835.18,20555.08,Placa de acero A36,G03,03,PUE,vigente
B0117B0A-3496-51D6-A790-55B06001F54D,DZI910804SQ0,TIN091214KL3,2025-01-06,9670,1547.2,11217.2,Barra redonda 1018,G03,03,PPD,vigente
82B34384-9979-CF26-C8B1-90E1089A9F4F,DZI910804SQ0,TIN091214KL3,2025-01-06,5559.9,889.58,6449.48,Tubo estructural,G03,03,PUE,vigente
F5C9F459-9DB1-BD5E-91A4-D796B9720EEC,FNI920522YRY,TIN091214KL3,2025-01-06,67132.4,10741.18,77873.58,Sellos hidráulicos,G03,03,PUE,vigente
B169FDED-F972-3977-52C0-3F9BDF16EB70,TIN091214KL3,YCA050705OHS,2025-01-06,208797.38,33407.58,242204.96,Corte y doblez,G01,03,PPD,vigente
EE6081AC-2DD0-622E-266B-F2EAEB93F78C,WGM241113MRL,TIN091214KL3,2025-01-07,22307.8,3569.25,25877.05,Brocas HSS,G03,03,PPD,vigente
7C2257A0-C75F-F368-5F7D-DBB1480AFE9F,TIN091214KL3,TJB001222W10,2025-01-07,89301.8,14288.29,103590.09,Corte y doblez,G01,03,PPD,vigente
32440F07-0AE2-63E0-6E66-3C0AC1E0A4A1,TIN091214KL3,MAQ03062825L,2025-01-10,318889.23,51022.28,369911.51,Maquinado de piezas,G01,03,PPD,vigente
BAEB286B-F0D0-270F-D4D1-3D551DB6B844,UWP921026BTX,TIN091214KL3,2025-01-13,16152.4,2584.38,18736.78,Motor eléctrico 5HP,G03,03,PPD,vigente
528A34F3-63EA-C0A1-9202-B09C60B36938,TIN091214KL3,TVB051103QYM,2025-01-13,394875.32,63180.05,458055.37,Maquinado de piezas,G01,03,PPD,vigente
3A8C8ED5-A06A-A68A-9CAC-3D21A5A8C8AF,TIN091214KL3,IVN2105163NY,2025-01-13,372320.45,59571.27,431891.72,Maquinado de piezas,G01,03,PPD,vigente
67037089-C78C-D2C3-6374-ED1429B67B14,TIN091214KL3,YSD241219IB6,2025-01-13,346844.5,55495.12,402339.62,Soldadura industrial,G01,03,PPD,vigente
4B7A123E-338A-EA2D-3E1C-FA1495D16384,TIN091214KL3,LSC21020236H,2025-01-13,349526.72,55924.28,405451.0,Corte y doblez,G01,03,PPD,vigente
