rfc,legal_name,registered_date,address,bank_clabe,category,contact_email
BTN8908152SD,Servicios Guadalupe S de RL de CV,2022-08-12,"Av. Ruiz Cortines 1527, Apodaca, NL",072267963609841748,refacciones,contacto@serviciosguadalupe.mx
DBU231227UKE,Grupo Nuevo León SAPI de CV,2022-01-08,"Blvd. Díaz Ordaz 2276, San Pedro Garza García, NL",127342545876026850,refacciones,contacto@gruponuevo.mx
BGD030823RBW,Ferretera de México SAPI de CV,2024-04-18,"Av. Lázaro Cárdenas 3721, San Pedro Garza García, NL",058215509941847528,materia_prima,contacto@ferreterade.mx
EOK870428F5T,Gestoría y Enlace San Nicolás S de RL de CV,2025-03-03,"Av. Universidad 859, Guadalupe, NL",127967249590173425,servicios,contacto@gestoriay.mx
DFP890325WQU,Soldadura de México SAPI de CV,2024-01-26,"Blvd. Díaz Ordaz 2035, Monterrey, NL",072495668610432053,renta_util,contacto@soldadurade.mx
HQP910421HXF,Neumática Apodaca S de RL de CV,2021-03-21,"Av. Garza Sada 4921, Guadalupe, NL",012514640228022758,servicios,contacto@neumaticaapodaca.mx
SZC9707063JK,Refacciones San Nicolás S de RL de CV,2020-11-20,"Av. Universidad 3248, Guadalupe, NL",072633487067317933,consumibles,contacto@refaccionessan.mx
OSD160228AKR,Aceros Santa Catarina SA de CV,2021-07-13,"Av. Garza Sada 472, Monterrey, NL",014109484060153917,materia_prima,contacto@acerossanta.mx
JMK241214132,Electrónica Industrial S de RL de CV,2025-06-02,"Av. Universidad 3045, Guadalupe, NL",002740935513325437,refacciones,contacto@electronicaindustrial.mx
JPY870826UGV,Soldadura Industrial SA de CV,2023-08-02,"Av. Universidad 4966, Santa Catarina, NL",072101837512445132,materia_prima,contacto@soldaduraindustrial.mx
DGQ240803D6V,Ferretera San Nicolás SA de CV,2019-03-25,"Av. Garza Sada 2046, Apodaca, NL",002657203516539575,consumibles,contacto@ferreterasan.mx
FQZ88060892H,Industrias Nuevo León SA de CV,2019-03-02,"Av. Lázaro Cárdenas 850, General Escobedo, NL",058722831908112160,materia_prima,contacto@industriasnuevo.mx
LIP121209QK9,Aceros Apodaca S de RL de CV,2022-03-18,"Av. Miguel Alemán 1394, Monterrey, NL",058425592962567064,refacciones,contacto@acerosapodaca.mx
CZT910806Y6B,Servicios Escobedo SAPI de CV,2024-02-26,"Av. Garza Sada 1963, General Escobedo, NL",058034246116364526,consumibles,contacto@serviciosescobedo.mx
YNB000215EQT,Aceros Regiomontana S de RL de CV,2024-06-07,"Av. Lincoln 1540, San Pedro Garza García, NL",072598675858742267,materia_prima,contacto@acerosregiomontana.mx
CRH230311CX7,Metálica Escobedo SAPI de CV,2023-10-01,"Calle Zaragoza 639, Apodaca, NL",014963593378687656,servicios,contacto@metalicaescobedo.mx
PMN121218LZJ,Servicios San Nicolás SAPI de CV,2023-01-18,"Av. Lincoln 2608, General Escobedo, NL",014273796172575982,materia_prima,contacto@serviciossan.mx
FBY870108HAF,Pinturas del Norte SAPI de CV,2023-03-18,"Av. Miguel Alemán 526, Apodaca, NL",012419423697713595,logistica,contacto@pinturasdel.mx
DGN090812Y08,Herramientas Monterrey SA de CV,2023-01-09,"Av. Ruiz Cortines 2593, Guadalupe, NL",021578686926242393,consumibles,contacto@herramientasmonterrey.mx
COL040206DTB,Neumática Regiomontana SAPI de CV,2024-10-23,"Av. Constitución 1642, Guadalupe, NL",127601932254303939,servicios,contacto@neumaticaregiomontana.mx
OEF190714EHM,Promotora Comercial Chapa SA de CV,2025-04-01,"Av. Universidad 2779, Apodaca, NL",012060226260847497,servicios,contacto@promotoracomercial.mx
ZLV900812OLD,Transportes Apodaca SAPI de CV,2023-08-20,"Av. Lázaro Cárdenas 2378, San Nicolás de los Garza, NL",012362985433945965,consumibles,contacto@transportesapodaca.mx
YMF930303K2S,Aceros de México S de RL de CV,2021-08-30,"Blvd. Díaz Ordaz 1854, Apodaca, NL",072880371318781446,consumibles,contacto@acerosde.mx
HTX0701065UO,Grupo del Norte SAPI de CV,2019-12-01,"Av. Garza Sada 337, San Nicolás de los Garza, NL",012790534133958170,logistica,contacto@grupodel.mx
UWP921026BTX,Electrónica Regiomontana SAPI de CV,2024-06-03,"Av. Lincoln 934, General Escobedo, NL",002538819687479285,refacciones,contacto@electronicaregiomontana.mx
LPK240212P77,Aceros Escobedo S de RL de CV,2024-03-27,"Av. Garza Sada 337, San Nicolás de los Garza, NL",127897211558517365,logistica,contacto@acerosescobedo.mx
FNI920522YRY,Hidráulica Apodaca SAPI de CV,2022-12-21,"Av. Lázaro Cárdenas 3492, Apodaca, NL",002290297721441525,refacciones,contacto@hidraulicaapodaca.mx
GTT9311046XL,Servicios Guadalupe S de RL de CV,2022-04-23,"Av. Lincoln 1657, Santa Catarina, NL",021031934278352199,servicios,contacto@serviciosguadalupe.mx
ZUX97062289Q,Maquinados Apodaca SA de CV,2020-10-18,"Av. Miguel Alemán 2059, Apodaca, NL",014754116804397510,renta_util,contacto@maquinadosapodaca.mx
IHV020423VE4,Metálica Santa Catarina SA de CV,2024-12-02,"Calle Zaragoza 1710, General Escobedo, NL",127790287445645713,servicios,contacto@metalicasanta.mx
WGM241113MRL,Distribuidora Industrial S de RL de CV,2019-03-12,"Av. Lincoln 809, Apodaca, NL",021273872090747664,consumibles,contacto@distribuidoraindustrial.mx
MXU951103KXW,Refacciones Apodaca S de RL de CV,2021-09-26,"Av. Lázaro Cárdenas 1850, Santa Catarina, NL",002876210248046164,consumibles,contacto@refaccionesapodaca.mx
LAI101206479,Grupo Guadalupe SA de CV,2021-10-30,"Av. Lázaro Cárdenas 1897, Apodaca, NL",072035061403237378,consumibles,contacto@grupoguadalupe.mx
DZI910804SQ0,Pinturas San Nicolás S de RL de CV,2019-05-28,"Blvd. Díaz Ordaz 4157, Monterrey, NL",021890726303659684,materia_prima,contacto@pinturassan.mx
WWH110626S3K,Grupo Monterrey S de RL de CV,2023-08-10,"Av. Lincoln 4263, General Escobedo, NL",014856844373989238,materia_prima,contacto@grupomonterrey.mx
BNW120625NY2,Rodríguez y Asociados SC,2019-05-21,"Av. Sendero 113, Apodaca, NL",072651083822612788,servicios,contacto@rodriguezy.mx
ZWS100912DOJ,Refacciones Regiomontana S de RL de CV,2022-05-22,"Av. Universidad 1253, San Pedro Garza García, NL",002466589120859208,servicios,contacto@refaccionesregiomontana.mx
SJP030817VDZ,Suministros Monterrey S de RL de CV,2024-04-26,"Av. Sendero 4895, Santa Catarina, NL",058685848483733296,consumibles,contacto@suministrosmonterrey.mx
LJA880717NNC,Ferretera Monterrey S de RL de CV,2020-09-04,"Av. Universidad 1918, San Pedro Garza García, NL",012098671286174002,refacciones,contacto@ferreteramonterrey.mx
ILK110504O8G,Metálica San Nicolás SA de CV,2021-03-05,"Av. Lázaro Cárdenas 737, San Pedro Garza García, NL",072463414408727065,materia_prima,contacto@metalicasan.mx
