receipt_id,po_number,supplier_id,invoice_uuid,fecha,descripcion,cantidad,received_by,warehouse
GR00001,PO00529,S00023,347D5E3B-BE44-76F8-CCCC-E22E77EDF7AB,2024-12-31,Bandas industriales,73.0,E00004,ALM-02
GR00002,PO00074,S00019,2AC83CA9-9566-1EF9-9101-28FD44D958C4,2025-01-02,Lámina de acero cal. 14,76.0,E00004,ALM-02
GR00003,PO00080,S00029,953AFBAD-426D-DD90-84C0-48F98DA70733,2025-01-06,Discos de corte,157.0,E00004,ALM-01
GR00004,PO00386,S00032,A3D76CE1-0C3D-6B3D-CDD7-906E526AF3B6,2025-01-06,Bandas industriales,165.0,E00004,ALM-01
GR00005,PO00458,S00039,E777BAF1-6AA6-7B09-3CA4-15DFC9FF6F26,2025-01-06,Perfil PTR 2x2,66.0,E00004,ALM-01
GR00006,PO00479,S00023,B8E07E44-170E-5617-5F72-1C8957366B27,2025-01-06,Rodamientos SKF,95.0,E00004,ALM-01
GR00007,PO00469,S00009,37858087-41FC-F9B1-9165-FA8B23BBEACA,2025-01-10,Lámina de acero cal. 14,56.0,E00004,ALM-01
GR00008,PO00103,S00024,77FED1B8-547F-6E4B-6F1F-711BBA89BD68,2025-01-10,Sellos hidráulicos,78.0,E00004,ALM-01
GR00009,PO00257,S00022,0F340B0D-4F94-3305-B7D5-67C69F71A57D,2025-01-13,Rodamientos SKF,66.0,E00004,ALM-02
GR00010,PO00485,S00039,0AACD1D6-5E67-D7A0-B67F-AC0627F48EE7,2025-01-13,Tubo estructural,77.0,E00004,ALM-01
GR00011,PO00312,S00028,D4A23951-FFA9-7506-637D-CCBEF0F544CD,2025-01-13,Sellos hidráulicos,165.0,E00004,ALM-01
GR00012,PO00452,S00030,B8DA1CBC-9DF3-FBCA-941F-62AE1F0ED31B,2025-01-13,Válvulas neumáticas,51.0,E00004,ALM-01
GR00013,PO00424,S00004,DD21726F-323D-0195-A294-8E036977929B,2025-01-13,Electrodos 6013,48.0,E00004,ALM-02
GR00014,PO00476,S00037,834AD09D-33E6-C4BE-DA29-1775B3687B1D,2025-01-14,Válvulas neumáticas,65.0,E00004,ALM-02
GR00015,PO00071,S00018,06B50424-D48B-15E9-785D-0E2B519DBC3A,2025-01-17,Discos de corte,166.0,E00004,ALM-01
GR00016,PO00534,S00033,5B4A4FB0-B0D9-7CA0-02E4-848450203017,2025-01-17,Flete local — carta porte anexa,1.0,E00004,ALM-01
GR00017,PO00013,S00022,40485493-B9E9-35C3-4366-CD17934D4185,2025-01-20,Válvulas neumáticas,69.0,E00004,ALM-01
GR00018,PO00096,S00020,C97A561D-848D-0F57-6D84-BF83FBA130E2,2025-01-20,Motor eléctrico 5HP,50.0,E00004,ALM-01
GR00019,PO00099,S00029,DA261311-3534-DC8D-B49B-90516690181C,2025-01-22,Discos de corte,22.0,E00004,ALM-01
GR00020,PO00516,S00022,118A7E24-5AB0-CA33-C87C-6570812C814F,2025-01-23,Válvulas neumáticas,67.0,E00004,ALM-01
GR00021,PO00181,S00024,5AA12EBA-A2D6-B281-FAAE-DCB65B9A3F0F,2025-01-23,Sellos hidráulicos,171.0,E00004,ALM-02
GR00022,PO00038,S00029,C3128151-2410-C556-12C1-BAD3A597EADB,2025-01-24,Electrodos 6013,40.0,E00004,ALM-01
GR00023,PO00437,S00009,3D631B48-B59C-F5CF-A491-583756D751A5,2025-01-24,Tubo estructural,121.0,E00004,ALM-02
GR00024,PO00025,S00037,4D96E9DA-9DD8-7A35-9B4B-6E9A506BCEB3,2025-01-27,Motor eléctrico 5HP,161.0,E00004,ALM-01
GR00025,PO00227,S00022,EA185AB1-8EA9-7878-8C1F-F68B7603BB23,2025-01-27,Rodamientos SKF,12.0,E00004,ALM-01
GR00026,PO00118,S00017,AADA85C4-1951-CA9A-8F3E-26A1CD874639,2025-01-27,Sellos hidráulicos,180.0,E00004,ALM-01
GR00027,PO00401,S00024,E653B149-C425-F1DA-914D-04F78BE088CA,2025-02-03,Válvulas neumáticas,125.0,E00004,ALM-02
GR00028,PO00242,S00029,79075C00-C43A-DA06-68B3-4F5FBBFA7EBB,2025-02-06,Discos de corte,41.0,E00004,ALM-02
GR00029,PO00152,S00020,E318378E-1BAA-6D1C-E18E-8344F01B4030,2025-02-07,Rodamientos SKF,68.0,E00004,ALM-01
GR00030,PO00513,S00028,E647ABE9-5D0D-6E47-76E6-3BD7384C43D5,2025-02-10,Válvulas neumáticas,151.0,E00004,ALM-02
GR00031,PO00182,S00017,BC06F9C0-8FA3-652C-7DC2-3853F0B6EFFA,2025-02-10,Motor eléctrico 5HP,22.0,E00004,ALM-02
GR00032,PO00509,S00030,6FB16AF4-07F3-E6F4-4759-F36D5BBDDF89,2025-02-12,Válvulas neumáticas,92.0,E00004,ALM-02
GR00033,PO00015,S00016,9695AE3B-3058-4666-4AF8-EBDDACD4438A,2025-02-14,Guantes de carnaza,32.0,E00004,ALM-01
GR00034,PO00422,S00021,68AEDB47-F6B0-85E5-DC3F-CECFCB7FD6AD,2025-02-14,Barra redonda 1018,152.0,E00004,ALM-01
GR00035,PO00301,S00021,EF0D3CB7-53C0-6C39-DE8D-2EA884146EBB,2025-02-17,Placa de acero A36,111.0,E00004,ALM-02
GR00036,PO00179,S00039,02CBFC60-C8D9-90FC-4B5A-5893E52BF4D3,2025-02-17,Lámina de acero cal. 14,68.0,E00004,ALM-02
GR00037,PO00515,S00019,6145AA5F-3EE6-965E-EFB4-339A8CC872A4,2025-02-19,Tubo estructural,164.0,E00004,ALM-01
GR00038,PO00330,S00022,2EE87329-9EBE-BDDF-FBDA-5321F6F7E3CC,2025-02-24,Válvulas neumáticas,132.0,E00004,ALM-02
GR00039,PO00147,S00019,A0CDA384-2CEE-5D70-E410-B475C58EEF6D,2025-02-24,Barra redonda 1018,119.0,E00004,ALM-01
GR00040,PO00082,S00020,AE6D026D-7682-D29B-B08B-901C87247910,2025-02-24,Sellos hidráulicos,93.0,E00004,ALM-02
GR00041,PO00178,S00016,312F1F1A-D992-ED93-1A7B-F5688CAAC992,2025-02-28,Discos de corte,167.0,E00004,ALM-02
GR00042,PO00186,S00032,CA5B4B58-F788-6084-E0C3-A7DBFE029017,2025-02-28,Válvulas neumáticas,189.0,E00004,ALM-01
GR00043,PO00351,S00021,69AE690B-22F8-6E73-22F8-85BD4F66F5C8,2025-02-28,Tubo estructural,142.0,E00004,ALM-02
GR00044,PO00339,S00019,F6231792-DA92-4590-D40D-ED0FB0A2BDB2,2025-03-03,Tubo estructural,73.0,E00004,ALM-01
GR00045,PO00502,S00019,69CAB6B1-A2BC-00E3-A37B-F7A47CF7F10D,2025-03-03,Tubo estructural,168.0,E00004,ALM-01
GR00046,PO00388,S00023,2207EA4B-C524-1DC7-749A-77710071AA95,2025-03-03,Sellos hidráulicos,101.0,E00004,ALM-02
GR00047,PO00046,S00032,8CD76330-0863-060F-9F18-799B8B53ED6B,2025-03-05,Motor eléctrico 5HP,9.0,E00004,ALM-02
GR00048,PO00355,S00029,9A58E1C2-8D7C-AD40-F6BE-CB57F7543DF7,2025-03-06,Electrodos 6013,117.0,E00004,ALM-01
GR00049,PO00200,S00022,7C2FF658-BD06-397A-AA15-73C572C896B8,2025-03-10,Motor eléctrico 5HP,51.0,E00004,ALM-02
GR00050,PO00537,S00035,9293C4AB-491A-D859-FD90-F7C94091B454,2025-03-10,Sellos hidráulicos,155.0,E00004,ALM-01
GR00051,PO00094,S00024,7FD747C0-BE38-3B75-E969-47A1F45D663E,2025-03-11,Rodamientos SKF,155.0,E00004,ALM-01
GR00052,PO00448,S00023,833EE207-6790-FAE7-FBA4-5D05F152B60A,2025-03-11,Válvulas neumáticas,150.0,E00004,ALM-02
GR00053,PO00352,S00029,27693E9F-435F-A8CB-FBF4-F9FC088EDC17,2025-03-12,Solvente industrial,110.0,E00004,ALM-01
GR00054,PO00293,S00035,8BA92943-63F6-FA72-0733-495702E93EE6,2025-03-12,Sellos hidráulicos,128.0,E00004,ALM-01
GR00055,PO00171,S00028,8087CFCD-290A-1413-6AE0-7F6F1C648101,2025-03-13,Válvulas neumáticas,30.0,E00004,ALM-02
GR00056,PO00471,S00009,4BE588CB-6193-0019-37F9-242BF84FEB85,2025-03-17,Perfil PTR 2x2,111.0,E00004,ALM-01
GR00057,PO00450,S00024,DF195C4D-7145-F6BC-3172-DDA8B9B15585,2025-03-17,Sellos hidráulicos,69.0,E00004,ALM-01
GR00058,PO00190,S00035,9F140BC1-F593-9946-5AFD-94A70C05C3B6,2025-03-17,Bandas industriales,115.0,E00004,ALM-01
GR00059,PO00057,S00023,A452532B-E17D-8AB3-4F22-913A0F7978B6,2025-03-17,Motor eléctrico 5HP,71.0,E00004,ALM-01
GR00060,PO00504,S00023,66F9F6FC-EBCA-FCD2-04D9-A2C761F4A9A1,2025-03-17,Motor eléctrico 5HP,71.0,E00004,ALM-01
GR00061,PO00369,S00016,46523CF3-D099-5C33-D51C-F2FEF9F23CD8,2025-03-19,Electrodos 6013,189.0,E00004,ALM-02
GR00062,PO00443,S00009,C1C8D207-B7A1-07F9-59B2-C0D9815FBF41,2025-03-19,Tubo estructural,9.0,E00004,ALM-01
GR00063,PO00346,S00022,5223235F-1011-E03C-3BC8-F72528D01B73,2025-03-20,Sellos hidráulicos,129.0,E00004,ALM-01
GR00064,PO00367,S00016,73938CAE-53DD-4022-E24E-34BB9FB127CA,2025-03-21,Discos de corte,199.0,E00004,ALM-01
GR00065,PO00329,S00039,52081DE2-FA84-6D4C-F00A-0E4DA4DF27C3,2025-03-21,Perfil PTR 2x2,147.0,E00004,ALM-02
GR00066,PO00322,S00038,224D3032-7AE7-46A5-BD00-BDA01048A51E,2025-03-24,Electrodos 6013,104.0,E00004,ALM-01
GR00067,PO00333,S00040,F68EBA45-24DF-16FE-A290-20D8A3315B40,2025-03-24,Bandas industriales,46.0,E00004,ALM-02
GR00068,PO00481,S00023,C4C4C700-2053-DF44-7707-1F7039117456,2025-03-24,Rodamientos SKF,174.0,E00004,ALM-02
GR00069,PO00255,S00017,F0DB62D4-DC5B-AD91-9867-C0BC4C101C6F,2025-03-24,Bandas industriales,68.0,E00004,ALM-02
GR00070,PO00174,S00004,DCD749F1-8C3E-D2A2-AB83-732152BA9560,2025-03-24,Solvente industrial,51.0,E00004,ALM-01
GR00071,PO00365,S00029,CDB0B572-9686-8785-4CEB-AEB965C35BB2,2025-03-26,Brocas HSS,70.0,E00004,ALM-01
GR00072,PO00155,S00019,97AAAB06-40E4-0862-ADBF-6052E6DA7BF2,2025-03-27,Barra redonda 1018,22.0,E00004,ALM-02
GR00073,PO00142,S00032,42556041-F5B2-AEEB-CA36-FF192F72F5F3,2025-03-28,Válvulas neumáticas,134.0,E00004,ALM-02
GR00074,PO00106,S00018,DDAA1F92-C017-665D-909A-2CE1AE3C6FC1,2025-03-28,Electrodos 6013,25.0,E00004,ALM-01
GR00075,PO00373,S00029,DBA3C906-17FE-7429-A781-F2407CD56811,2025-03-31,Solvente industrial,107.0,E00004,ALM-02
GR00076,PO00500,S00035,F4828865-1412-0185-D880-E0C0F49006CF,2025-03-31,Bandas industriales,5.0,E00004,ALM-01
GR00077,PO00004,S00035,E37D36B1-CF65-17B5-FA38-03580E59E2FD,2025-03-31,Motor eléctrico 5HP,67.0,E00004,ALM-01
GR00078,PO00131,S00039,A5BC2EBA-CA03-2526-47D9-815CA134A478,2025-04-02,Perfil PTR 2x2,110.0,E00004,ALM-01
GR00079,PO00145,S00035,8BE84F09-59C0-D4F8-B6EB-F0FA7E695728,2025-04-07,Motor eléctrico 5HP,123.0,E00004,ALM-02
GR00080,PO00391,S00020,4A3EBB6D-FBEF-EBCA-EF5E-BC3EB645DD72,2025-04-09,Rodamientos SKF,192.0,E00004,ALM-01
GR00081,PO00278,S00018,06A1FD3A-0F48-452D-6238-C7493B76B261,2025-04-14,Brocas HSS,180.0,E00004,ALM-02
GR00082,PO00442,S00021,72BDA7B6-4C95-3648-1C28-28AAA3C35386,2025-04-14,Perfil PTR 2x2,81.0,E00004,ALM-02
GR00083,PO00253,S00019,4DD0AB74-D257-0290-F616-EC6F704DD17E,2025-04-14,Perfil PTR 2x2,125.0,E00004,ALM-01
GR00084,PO00273,S00024,883BE9C3-C09D-B405-5762-61709F860BBF,2025-04-15,Sellos hidráulicos,97.0,E00004,ALM-02
GR00085,PO00137,S00026,526DC30F-366F-4F2A-DFA9-9CB569C64982,2025-04-21,Sellos hidráulicos,70.0,E00004,ALM-02
GR00086,PO00006,S00009,0961938C-AF24-D47E-9034-FC79624E6314,2025-04-21,Tubo estructural,28.0,E00004,ALM-01
GR00087,PO00159,S00035,DE3904AA-9CA4-202B-983A-EC318EF03A8F,2025-04-21,Sellos hidráulicos,144.0,E00004,ALM-02
GR00088,PO00318,S00004,85B16F00-EEC9-AEB1-B024-AAE2E890FF09,2025-04-21,Discos de corte,1.0,E00004,ALM-01
GR00089,PO00059,S00020,9118A7DC-3CCC-C0C3-2730-41B2A747A28E,2025-04-22,Motor eléctrico 5HP,29.0,E00004,ALM-01
GR00090,PO00130,S00023,4A7D9232-AA1B-DC2D-5C18-0535C726968E,2025-04-23,Válvulas neumáticas,132.0,E00004,ALM-01
GR00091,PO00277,S00023,2F356962-FE67-DB95-8D69-BBEE779A92DC,2025-04-24,Bandas industriales,119.0,E00004,ALM-02
GR00092,PO00410,S00023,DE526CF3-33CD-E969-8397-9CEC0DFD9B53,2025-04-25,Sellos hidráulicos,148.0,E00004,ALM-02
GR00093,PO00307,S00032,B687872B-BE82-A004-DB2F-368D0DBA6E25,2025-04-28,Motor eléctrico 5HP,178.0,E00004,ALM-02
GR00094,PO00300,S00020,FB2A2171-BD2D-0039-513A-F9665FD14FA7,2025-04-28,Motor eléctrico 5HP,98.0,E00004,ALM-02
GR00095,PO00426,S00019,FD4A63FA-5380-CE26-FA2B-0D67FBD688C6,2025-05-01,Placa de acero A36,85.0,E00004,ALM-01
GR00096,PO00207,S00035,2D53520C-D6A6-A194-50D3-6B8178FAEB5B,2025-05-01,Bandas industriales,48.0,E00004,ALM-01
GR00097,PO00524,S00023,B51935EE-B1C8-EFE9-D36C-AEEB64663439,2025-05-01,Válvulas neumáticas,166.0,E00004,ALM-02
GR00098,PO00446,S00020,BFFACF9D-ED50-5485-9D97-E5A1DD23A405,2025-05-02,Motor eléctrico 5HP,165.0,E00004,ALM-02
GR00099,PO00319,S00004,1D9865E4-B142-34B4-6DCD-66648EF5670C,2025-05-02,Discos de corte,98.0,E00004,ALM-02
GR00100,PO00081,S00038,F2426F91-DB85-88A0-EDF2-A878790E64B6,2025-05-05,Solvente industrial,184.0,E00004,ALM-01
GR00101,PO00021,S00020,9D62B81F-B0FC-D420-C6BA-A643F8F32A95,2025-05-08,Válvulas neumáticas,183.0,E00004,ALM-01
GR00102,PO00203,S00039,9D6DF827-1EB8-816F-7083-1B3B1E6DF350,2025-05-09,Perfil PTR 2x2,79.0,E00004,ALM-02
GR00103,PO00456,S00009,2B56CEB1-58DD-E915-8DBE-90E01D593D3A,2025-05-12,Placa de acero A36,48.0,E00004,ALM-01
GR00104,PO00428,S00032,A24C2205-2FF3-DCD1-9A06-85C22FAD3468,2025-05-12,Rodamientos SKF,187.0,E00004,ALM-02
GR00105,PO00156,S00029,066D1E8D-E2A6-50B9-F79C-33224D924E2B,2025-05-14,Solvente industrial,98.0,E00004,ALM-02
GR00106,PO00520,S00024,7D982D9A-8892-3A5A-992D-4F4463D20C4D,2025-05-14,Motor eléctrico 5HP,141.0,E00004,ALM-01
GR00107,PO00238,S00018,2628FDA3-7BF1-5D68-666B-D860375215CF,2025-05-15,Electrodos 6013,87.0,E00004,ALM-01
GR00108,PO00408,S00032,83438698-86F9-7292-8AD7-FF025C6FC589,2025-05-19,Válvulas neumáticas,147.0,E00004,ALM-02
GR00109,PO00326,S00021,0A06147D-33B0-0016-8BE0-CFD75ED07976,2025-05-19,Barra redonda 1018,117.0,E00004,ALM-02
GR00110,PO00292,S00023,0C83BB78-EC87-619C-CB89-4FEE1FFF4CC7,2025-05-19,Sellos hidráulicos,92.0,E00004,ALM-02
GR00111,PO00134,S00032,C943AB75-672D-FB18-AE30-81691A8FD6C2,2025-05-22,Sellos hidráulicos,82.0,E00004,ALM-01
GR00112,PO00431,S00018,7956BB82-7927-E052-0CEB-E3EF266B2763,2025-05-23,Brocas HSS,179.0,E00004,ALM-02
GR00113,PO00303,S00016,6F56E592-A7A8-EB67-55F8-8E2C2DA79322,2025-05-26,Brocas HSS,115.0,E00004,ALM-02
GR00114,PO00511,S00039,F4ADA74D-EDFC-7B93-EBA2-48D352A2C026,2025-05-26,Tubo estructural,51.0,E00004,ALM-02
GR00115,PO00416,S00019,B9BDD4A8-F526-50B8-5B6D-929F2FDABD2D,2025-05-26,Lámina de acero cal. 14,151.0,E00004,ALM-01
GR00116,PO00411,S00009,D8837E25-7DC2-4DEF-3D94-C15032048B2C,2025-05-27,Tubo estructural,163.0,E00004,ALM-02
GR00117,PO00239,S00020,85F96B2D-07DF-94C7-6796-5757706A25B3,2025-05-27,Sellos hidráulicos,141.0,E00004,ALM-01
GR00118,PO00259,S00021,9D774D48-0EDB-98D0-E610-66B166824E00,2025-05-30,Barra redonda 1018,134.0,E00004,ALM-02
GR00119,PO00444,S00030,A74A125D-1CF8-4A66-7EA1-EFAF8C34A98D,2025-05-30,Válvulas neumáticas,122.0,E00004,ALM-01
GR00120,PO00053,S00029,74AF0A47-802C-9657-EFC2-093029CDA86A,2025-06-02,Solvente industrial,153.0,E00004,ALM-02
GR00121,PO00487,S00032,6C497224-0A60-A799-AA57-A8FE68FEC407,2025-06-02,Rodamientos SKF,152.0,E00004,ALM-01
GR00122,PO00048,S00039,A66A8A65-8CA2-6A9B-FDA1-371AA8387F03,2025-06-02,Barra redonda 1018,135.0,E00004,ALM-01
GR00123,PO00403,S00035,B1E75C96-3DCB-41E1-51EE-1493900275D3,2025-06-02,Rodamientos SKF,91.0,E00004,ALM-02
GR00124,PO00308,S00023,AC8E58A4-C3AC-46D3-442F-F0B6391FC6DF,2025-06-02,Rodamientos SKF,114.0,E00004,ALM-01
GR00125,PO00483,S00020,3786DFC2-B2E0-FA85-B791-72D9A1C36A5A,2025-06-02,Motor eléctrico 5HP,93.0,E00004,ALM-01
GR00126,PO00105,S00024,25A5806E-5B60-9CAC-896F-DADBDB3A53F1,2025-06-06,Bandas industriales,135.0,E00004,ALM-01
GR00127,PO00005,S00035,A48664DC-D312-40AA-159B-9A772D6D1766,2025-06-09,Motor eléctrico 5HP,194.0,E00004,ALM-02
GR00128,PO00494,S00016,1BDEFADF-1FFB-D654-7C1B-B36797353EC9,2025-06-10,Solvente industrial,95.0,E00004,ALM-01
GR00129,PO00358,S00030,30C2F72E-1D71-8E40-6210-D4D446EC0C3E,2025-06-11,Sellos hidráulicos,200.0,E00004,ALM-02
GR00130,PO00340,S00026,1DC4E81C-ED6B-7181-4C0B-64D524231C4C,2025-06-12,Sellos hidráulicos,85.0,E00004,ALM-01
GR00131,PO00523,S00038,737BBABA-5546-9918-CFDD-DC2EE72F2C50,2025-06-13,Guantes de carnaza,48.0,E00004,ALM-02
GR00132,PO00150,S00009,BFF84BD8-3DF8-34B0-58CA-D6B21912C816,2025-06-13,Barra redonda 1018,11.0,E00004,ALM-02
GR00133,PO00049,S00029,CBAA0561-A1F7-E942-5FAF-67890AAEC7C4,2025-06-16,Brocas HSS,177.0,E00004,ALM-02
GR00134,PO00362,S00037,D9BBD0B6-6C13-95FD-0E93-55471A134B60,2025-06-16,Rodamientos SKF,104.0,E00004,ALM-02
GR00135,PO00084,S00032,CF483CE9-22BE-DFD8-E9B6-FFEDC4E76F00,2025-06-16,Bandas industriales,115.0,E00004,ALM-01
GR00136,PO00380,S00017,70C27226-B71D-C541-4AD9-C3D13043A746,2025-06-16,Motor eléctrico 5HP,83.0,E00004,ALM-02
GR00137,PO00281,S00024,3BDDA38B-76A6-C3F7-685A-BE57FDD641D1,2025-06-17,Bandas industriales,43.0,E00004,ALM-02
GR00138,PO00462,S00019,A63FF60D-3241-F080-EDC1-A115DE4508EB,2025-06-17,Barra redonda 1018,58.0,E00004,ALM-02
GR00139,PO00127,S00032,DCFC14F9-CA53-62F0-D411-0A7F96EC0FFC,2025-06-19,Motor eléctrico 5HP,135.0,E00004,ALM-02
GR00140,PO00470,S00038,14BAD6FA-FB45-F778-0210-396CE02575BB,2025-06-20,Electrodos 6013,69.0,E00004,ALM-02
GR00141,PO00478,S00023,E16BF91B-2973-8E7A-5653-49E44B6A7BBD,2025-06-20,Motor eléctrico 5HP,129.0,E00004,ALM-01
GR00142,PO00189,S00033,0B0DD9D0-EC85-EE24-3421-DF043B2F9B02,2025-06-20,Flete local — carta porte anexa,1.0,E00004,ALM-02
