uuid,tipo,serie,folio,fecha,fecha_timbrado,rfc_emisor,nombre_emisor,rfc_receptor,nombre_receptor,uso_cfdi,forma_pago,metodo_pago,clave_prod_serv,descripcion,cantidad,valor_unitario,subtotal,iva,total,moneda,po_number,counterparty_id,approved_by
7A222691-49E7-E75C-D770-528B44B23930,recibida,A,54776,2025-01-01,2025-01-01,JDT8809104XZ,Empaques del Norte SAPI de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PPD,80101500,Consultoría de procesos,1.0,35019.9,35019.9,5603.18,40623.08,MXN,PO00535,S00013,E00002
2AC83CA9-9566-1EF9-9101-28FD44D958C4,recibida,A,34828,2025-01-02,2025-01-04,LNR0211046T5,Pinturas Nuevo León SAPI de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PPD,30102000,Lámina de acero cal. 14,76.0,176.06,13380.5,2140.88,15521.38,MXN,PO00074,S00019,E00002
347D5E3B-BE44-76F8-CCCC-E22E77EDF7AB,recibida,A,14613,2025-01-03,2025-01-04,MKD060428P24,Suministros Guadalupe SA de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PUE,40141600,Bandas industriales,73.0,789.86,57659.9,9225.58,66885.48,MXN,PO00529,S00023,E00002
2B44F68C-3CE4-30D6-BC7E-C9A12D3E850C,recibida,A,51328,2025-01-06,2025-01-07,HSA170302L56,Distribuidora del Norte S de RL de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PPD,80131500,Servicio de energía,1.0,28687.8,28687.8,4590.05,33277.85,MXN,PO00026,S00005,E00002
953AFBAD-426D-DD90-84C0-48F98DA70733,recibida,A,12870,2025-01-06,2025-01-08,JCY220225DEO,Soldadura Regiomontana S de RL de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PPD,31161500,Discos de corte,157.0,667.07,104730,16756.8,121486.8,MXN,PO00080,S00029,E00002
E9EEC7F7-6E0E-13B2-B228-C91867C5798E,recibida,A,94625,2025-01-06,2025-01-08,RYY210726M9I,Metálica del Norte S de RL de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PUE,80131500,Renta de montacargas,1.0,25500.5,25500.5,4080.08,29580.58,MXN,PO00045,S00015,E00002
558DBD62-B115-326C-182F-5E16A8055780,recibida,A,54571,2025-01-06,2025-01-07,TYC9409017QY,Hidráulica Industrial S de RL de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PPD,80101500,Servicios de limpieza,1.0,32427.8,32427.8,5188.45,37616.25,MXN,PO00170,S00006,E00002
2FB00D4B-9273-81B8-85A1-C2032EBE3982,recibida,A,36803,2025-01-06,2025-01-06,BRG980912TE9,Ferretera Guadalupe S de RL de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PPD,80101500,Asesoría fiscal,1.0,3480.5,3480.5,556.88,4037.38,MXN,PO00019,S00002,E00002
FCF0F07F-8C68-9433-8608-11219B0FB4A4,emitida,F,1519,2025-01-06,2025-01-06,TIN091214KL3,Talleres Industriales del Norte SA de CV,XVS9502132UY,Autopartes Quintanilla S de RL de CV,G01,03,PPD,23271800,Fabricación de estructura,1.0,397431.63,397431.63,63589.06,461020.69,MXN,,C00004,E00007
3C618418-0A99-EC54-E5DB-606406E88EBA,emitida,F,1551,2025-01-06,2025-01-06,TIN091214KL3,Talleres Industriales del Norte SA de CV,IOL031203VT4,Autopartes Guerra S de RL de CV,G01,03,PPD,23271800,Fabricación de estructura,1.0,358114.62,358114.62,57298.34,415412.96,MXN,,C00015,E00007
8B4E12FB-CC8F-DD06-BAEF-D609EC300BB9,emitida,F,1600,2025-01-06,2025-01-06,TIN091214KL3,Talleres Industriales del Norte SA de CV,NBX010517L3O,Envases Quintanilla S de RL de CV,G01,03,PPD,23271800,Maquinado de piezas,1.0,295243.97,295243.97,47239.04,342483.01,MXN,,C00017,E00007
8178731E-550A-C854-136F-E28673894735,emitida,F,1642,2025-01-07,2025-01-07,TIN091214KL3,Talleres Industriales del Norte SA de CV,RSR9508062P4,Grupo Martínez SA de CV,G01,03,PPD,23271800,Maquinado de piezas,1.0,373389.33,373389.33,59742.29,433131.62,MXN,,C00018,E00007
A3D76CE1-0C3D-6B3D-CDD7-906E526AF3B6,recibida,A,61885,2025-01-08,2025-01-08,EJM1706048OE,Servicios Santa Catarina SAPI de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PPD,40141600,Bandas industriales,165.0,52.79,8710,1393.6,10103.6,MXN,PO00386,S00032,E00002
E777BAF1-6AA6-7B09-3CA4-15DFC9FF6F26,recibida,A,22789,2025-01-09,2025-01-11,ZKV070614580,Empaques Apodaca SAPI de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PUE,30102000,Perfil PTR 2x2,66.0,180.0,11880,1900.8,13780.8,MXN,PO00458,S00039,E00002
42E3DCD7-9648-3613-589D-77B741599733,emitida,F,1523,2025-01-09,2025-01-09,TIN091214KL3,Talleres Industriales del Norte SA de CV,XVS9502132UY,Autopartes Quintanilla S de RL de CV,G01,03,PPD,23271800,Soldadura industrial,1.0,285413.41,285413.41,45666.15,331079.56,MXN,,C00004,E00007
A42D3646-8B59-FF3C-558F-3B9E414E241A,recibida,A,94791,2025-01-10,2025-01-11,UDA130122EPS,Maquinados Monterrey SA de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PUE,80131500,Renta de montacargas,1.0,168169.9,168169.9,26907.18,195077.08,MXN,PO00493,S00031,E00002
5E5716D5-ACA8-2AB4-AC7E-36C99BA74342,recibida,A,33722,2025-01-10,2025-01-11,IXR870809SKC,Electrónica del Norte S de RL de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PPD,78101800,Maniobras de carga,1.0,4740.0,4740,758.4,5498.4,MXN,PO00090,S00012,E00002
B8E07E44-170E-5617-5F72-1C8957366B27,recibida,A,47585,2025-01-10,2025-01-12,MKD060428P24,Suministros Guadalupe SA de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PUE,40141600,Rodamientos SKF,95.0,640.85,60880.5,9740.88,70621.38,MXN,PO00479,S00023,E00002
F8A6980A-79B7-6035-B7CA-BDA01A17ACC5,emitida,F,1530,2025-01-10,2025-01-10,TIN091214KL3,Talleres Industriales del Norte SA de CV,DXF1705184RD,Envases Martínez SAPI de CV,G01,03,PPD,23271800,Fabricación de estructura,1.0,284683.09,284683.09,45549.29,330232.38,MXN,,C00002,E00007
6D0FD714-1013-B2E7-A8CF-FCA3BDDF7B99,recibida,A,78863,2025-01-13,2025-01-14,RHK9801046MV,Suministros Guadalupe SA de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PUE,78101800,Flete local,1.0,10092.4,10092.4,1614.78,11707.18,MXN,PO00224,S00008,E00002
37858087-41FC-F9B1-9165-FA8B23BBEACA,recibida,A,57478,2025-01-13,2025-01-13,EVO0907049MQ,Hidráulica Nuevo León SAPI de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PUE,30102000,Lámina de acero cal. 14,56.0,357.87,20040.5,3206.48,23246.98,MXN,PO00469,S00009,E00002
695AC14D-814A-9763-5C41-5CC51004ABD7,recibida,A,96872,2025-01-13,2025-01-15,TYC9409017QY,Hidráulica Industrial S de RL de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PPD,80101500,Servicio de mantenimiento,1.0,36597.8,36597.8,5855.65,42453.45,MXN,PO00258,S00006,E00002
77FED1B8-547F-6E4B-6F1F-711BBA89BD68,recibida,A,7907,2025-01-13,2025-01-14,KGD1808073H9,Transportes Industrial S de RL de CV,TIN091214KL3,Talleres Industriales del Norte SA de CV,G03,03,PUE,40141600,Sellos hidráulicos,78.0,665.38,51900,8304.0,60204.0,MXN,PO00103,S00024,E00002
