entry_id,fecha,account_code,account_name,debit,credit,descripcion,invoice_uuid,txn_id
GL00001,2025-01-01,6000,Gastos servicios,35019.9,0,Factura 54776 Empaques del Norte SAPI de CV,7A222691-49E7-E75C-D770-528B44B23930,
GL00002,2025-01-01,1180,IVA acreditable,5603.18,0,IVA factura 54776,7A222691-49E7-E75C-D770-528B44B23930,
GL00003,2025-01-01,2100,Proveedores,0,40623.08,Factura 54776 Empaques del Norte SAPI de CV,7A222691-49E7-E75C-D770-528B44B23930,
GL00004,2025-01-02,6000,Gastos materia_prima,13380.5,0,Factura 34828 Pinturas Nuevo León SAPI de CV,2AC83CA9-9566-1EF9-9101-28FD44D958C4,
GL00005,2025-01-02,1180,IVA acreditable,2140.88,0,IVA factura 34828,2AC83CA9-9566-1EF9-9101-28FD44D958C4,
GL00006,2025-01-02,2100,Proveedores,0,15521.38,Factura 34828 Pinturas Nuevo León SAPI de CV,2AC83CA9-9566-1EF9-9101-28FD44D958C4,
GL00007,2025-01-03,6000,Gastos refacciones,57659.9,0,Factura 14613 Suministros Guadalupe SA de CV,347D5E3B-BE44-76F8-CCCC-E22E77EDF7AB,
GL00008,2025-01-03,1180,IVA acreditable,9225.58,0,IVA factura 14613,347D5E3B-BE44-76F8-CCCC-E22E77EDF7AB,
GL00009,2025-01-03,2100,Proveedores,0,66885.48,Factura 14613 Suministros Guadalupe SA de CV,347D5E3B-BE44-76F8-CCCC-E22E77EDF7AB,
GL00010,2025-01-06,6000,Gastos renta_util,28687.8,0,Factura 51328 Distribuidora del Norte S de RL de CV,2B44F68C-3CE4-30D6-BC7E-C9A12D3E850C,
GL00011,2025-01-06,1180,IVA acreditable,4590.05,0,IVA factura 51328,2B44F68C-3CE4-30D6-BC7E-C9A12D3E850C,
GL00012,2025-01-06,2100,Proveedores,0,33277.85,Factura 51328 Distribuidora del Norte S de RL de CV,2B44F68C-3CE4-30D6-BC7E-C9A12D3E850C,
GL00013,2025-01-06,6000,Gastos consumibles,104730,0,Factura 12870 Soldadura Regiomontana S de RL de CV,953AFBAD-426D-DD90-84C0-48F98DA70733,
GL00014,2025-01-06,1180,IVA acreditable,16756.8,0,IVA factura 12870,953AFBAD-426D-DD90-84C0-48F98DA70733,
GL00015,2025-01-06,2100,Proveedores,0,121486.8,Factura 12870 Soldadura Regiomontana S de RL de CV,953AFBAD-426D-DD90-84C0-48F98DA70733,
GL00016,2025-01-06,6000,Gastos renta_util,25500.5,0,Factura 94625 Metálica del Norte S de RL de CV,E9EEC7F7-6E0E-13B2-B228-C91867C5798E,
GL00017,2025-01-06,1180,IVA acreditable,4080.08,0,IVA factura 94625,E9EEC7F7-6E0E-13B2-B228-C91867C5798E,
GL00018,2025-01-06,2100,Proveedores,0,29580.58,Factura 94625 Metálica del Norte S de RL de CV,E9EEC7F7-6E0E-13B2-B228-C91867C5798E,
GL00019,2025-01-06,6000,Gastos servicios,32427.8,0,Factura 54571 Hidráulica Industrial S de RL de CV,558DBD62-B115-326C-182F-5E16A8055780,
GL00020,2025-01-06,1180,IVA acreditable,5188.45,0,IVA factura 54571,558DBD62-B115-326C-182F-5E16A8055780,
GL00021,2025-01-06,2100,Proveedores,0,37616.25,Factura 54571 Hidráulica Industrial S de RL de CV,558DBD62-B115-326C-182F-5E16A8055780,
GL00022,2025-01-06,6000,Gastos servicios,3480.5,0,Factura 36803 Ferretera Guadalupe S de RL de CV,2FB00D4B-9273-81B8-85A1-C2032EBE3982,
GL00023,2025-01-06,1180,IVA acreditable,556.88,0,IVA factura 36803,2FB00D4B-9273-81B8-85A1-C2032EBE3982,
GL00024,2025-01-06,2100,Proveedores,0,4037.38,Factura 36803 Ferretera Guadalupe S de RL de CV,2FB00D4B-9273-81B8-85A1-C2032EBE3982,
GL00025,2025-01-06,1200,Clientes,461020.69,0,Venta 1519 Autopartes Quintanilla S de RL de CV,FCF0F07F-8C68-9433-8608-11219B0FB4A4,
GL00026,2025-01-06,4000,Ventas,0,397431.63,Venta 1519 Autopartes Quintanilla S de RL de CV,FCF0F07F-8C68-9433-8608-11219B0FB4A4,
GL00027,2025-01-06,2180,IVA trasladado,0,63589.06,IVA venta 1519,FCF0F07F-8C68-9433-8608-11219B0FB4A4,
GL00028,2025-01-06,1200,Clientes,415412.96,0,Venta 1551 Autopartes Guerra S de RL de CV,3C618418-0A99-EC54-E5DB-606406E88EBA,
